number,name,former_name,kind,jurisdiction,status
200012,MUSICRAFT,,Business Name,Yukon,Expired
200021,SOUTH YUKON REALTY,,Business Name,Yukon,Expired
200040,N C MACHINERY CO,,Business Name,Yukon,Ceased/Dissolved
200053,"WHITEHORSE STAR, THE",,Business Name,Yukon,Expired
200088,YUKON TRADING COMPANY,,Business Name,Yukon,Expired
200097,HARRISON'S FLYING SERVICE,,Business Name,Yukon,Expired
200112,NORTH WEST HELICOPTERS,,Business Name,Yukon,Expired
200138,ELSA DEVELOPMENTS,,Business Name,Yukon,Expired
200139,NEW NORTH MOTEL,,Business Name,Yukon,Ceased/Dissolved
200148,ATLAS TRAVEL SERVICE,,Business Name,Yukon,Ceased/Dissolved
200149,RIVERSIDE GROCERY,,Business Name,Yukon,Ceased/Dissolved
200153,H R RANDLE,,Business Name,Yukon,Ceased/Dissolved
200160,FRONTIER PLUMBING & HEATING,,Business Name,Yukon,Ceased/Dissolved
200174,YUKON OPTICAL,,Business Name,Yukon,Ceased/Dissolved
200179,FARO AGENCIES,,Business Name,Yukon,Expired
200181,HARMONY FUEL SERVICE,,Business Name,Yukon,Ceased/Dissolved
200182,YUKON WILDERNESS UNLIMITED & YUKON WILDERNESS WATE,,Business Name,Yukon,Ceased/Dissolved
200185,VALVOLINE OIL CANADA,,Business Name,Yukon,Expired
200186,ELDORADO HOTEL,,Business Name,Yukon,Active
200190,YUKON BEARINGS AND YUKON HYDRAULICS,,Business Name,Yukon,Expired
200192,FABCO LEASING,,Business Name,Yukon,Ceased/Dissolved
200195,"YUKON INN, THE",,Business Name,Yukon,Ceased/Dissolved
200198,TEXACO BULK PLANT,,Business Name,Yukon,Ceased/Dissolved
200199,BARRY'S TAX SERVICE,,Business Name,Yukon,Ceased/Dissolved
200203,FOOD FAIR,,Business Name,Yukon,Ceased/Dissolved
200209,SPARKY ENTERPRISES,,Business Name,Yukon,Expired
200211,RANCHERIA MOTEL,,Business Name,Yukon,Expired
200213,M C TRADING COMPANY,,Business Name,Yukon,Expired
200217,ALLIED LEISURE PRODUCTS A DIVISION OF ALLIED FARM,,Business Name,Yukon,Ceased/Dissolved
200218,FIRWEED COUNTRY ASSOCIATES,,Business Name,Yukon,Expired
200220,NORTH OF SIXTY COLOR,,Business Name,Yukon,Expired
200221,MONTE CARLO DINING ROOM,,Business Name,Yukon,Expired
200223,FABCO LEASING,,Business Name,Yukon,Expired
200234,ELITE ENTERPRISES,,Business Name,Yukon,Expired
200237,AURORA REALTY,,Business Name,Yukon,Ceased/Dissolved
200239,ROSS RIVER SERVICE CENTRE,,Business Name,Yukon,Ceased/Dissolved
200242,LOG JAMMERS,,Business Name,Yukon,Expired
200243,P & B HOLDINGS,,Business Name,Yukon,Ceased/Dissolved
200248,NORTHERN LIGHTS YUKON FEATURE FILM COMPANY,,Business Name,Yukon,Expired
200249,NORWEST REALTY,,Business Name,Yukon,Expired
200251,PIONEER REALTY,,Business Name,Yukon,Expired
200252,R M'S SERVICES,,Business Name,Yukon,Expired
200253,SAJAM CONSTRUCTION CONSULTANT,,Business Name,Yukon,Expired
200255,GOLDEN NORTH STUDIO,,Business Name,Yukon,Expired
200262,CHEEKS,,Business Name,Yukon,Ceased/Dissolved
200264,ROCKING BAR KLUANE PARK RANCH,,Business Name,Yukon,Expired
200265,SQUANGA LAKE HOLDINGS,,Business Name,Yukon,Expired
200267,SEDCO DRILLING,,Business Name,Yukon,Ceased/Dissolved
200268,CONNORS DRILLING,,Business Name,Yukon,Ceased/Dissolved
200269,BOW HELICOPTERS,,Business Name,Yukon,Ceased/Dissolved
200270,HI-TOWER DRILLING,,Business Name,Yukon,Ceased/Dissolved
200277,NORTHERN FIREARMS,,Business Name,Yukon,Expired
200278,HERITAGE ELECTROLYSIS STUDIO,,Business Name,Yukon,Expired
200280,TELECHECK CANADA,,Business Name,Yukon,Ceased/Dissolved
200282,TELECHEQUE CANADA,,Business Name,Yukon,Ceased/Dissolved
200289,AURORA REALTY & INVESTEMENT REALESEARCH,,Business Name,Yukon,Ceased/Dissolved
200290,FINNING POWER PRODUCTS,,Business Name,Yukon,Expired
200292,CAPTAIN'S LOCKER,,Business Name,Yukon,Ceased/Dissolved
200293,YUKON WHITE-WATER RECREATION,,Business Name,Yukon,Expired
200294,CANOE YUKON,,Business Name,Yukon,Expired
200295,HOOVER INDUSTRIAL SERVICES,,Business Name,Yukon,Ceased/Dissolved
200297,J & J EMPORIUM,,Business Name,Yukon,Ceased/Dissolved
200298,CANOE YUKON,,Business Name,Yukon,Ceased/Dissolved
